order_id,customer_id,order_date,product_category,order_amount
O000270,C07805,2022-11-08,Books,297.12
O000271,C04091,2023-05-17,Books,810.31
O000272,C03805,2022-09-09,Clothing,811.06
O000273,C08904,2023-06-11,Electronics,867.74
O000274,C05642,2022-09-02,Beauty,913.67
O000275,C01222,2024-01-25,Home,513.79
O000276,C05240,2023-02-09,Books,504.01
O000277,C07536,2024-03-13,Clothing,799.3
O000278,C07010,2023-03-11,Beauty,651.71
O000279,C04700,2023-10-02,Electronics,703.46
O000280,C06889,2022-10-19,Books,796.81
O000281,C08101,2023-05-15,Beauty,890.56
O000282,C00608,2022-04-26,Home,341.31
O000283,C06034,2023-06-11,Home,378.71
O000284,C00988,2022-08-03,Home,98.51
O000285,C06779,2022-10-19,Toys,580.39
O000286,C08718,2022-10-15,Toys,40.76
O000287,C00152,2023-09-23,Books,468.27
O000288,C09970,2023-09-19,Electronics,544.93
O000289,C08923,2023-06-27,Sports,290.11
O000290,C03315,2022-12-28,Beauty,592.88
O000291,C08258,2023-01-27,Beauty,35.35
O000292,C03433,2022-10-29,Electronics,42.16
O000293,C01110,2023-04-20,Beauty,823.49
O000294,C09551,2022-06-08,Electronics,363.39
O000295,C03660,2022-12-30,Home,131.43
O000296,C04247,2023-01-11,Clothing,524.63
O000297,C07110,2022-09-10,Books,771.14
O000298,C05303,2024-01-16,Beauty,219.74
O000299,C00992,2023-03-11,Sports,624.78
O000300,C02908,2022-11-20,Toys,89.92
O000301,C07945,2023-12-02,Electronics,56.42
O000302,C05244,2024-01-06,Electronics,533.7
O000303,C08342,2023-12-03,Home,542.93
O000304,C07018,2023-01-13,Books,639.24
O000305,C00846,2022-11-18,Electronics,727.46
O000306,C04074,2023-02-05,Sports,975.97
O000307,C04903,2022-01-06,Electronics,518.72
O000308,C05638,2022-12-15,Beauty,326.34
O000309,C06174,2023-08-25,Clothing,796.21
O000310,C03322,2024-02-12,Clothing,274.48
O000311,C03950,2022-07-01,Home,441.78
O000312,C03385,2022-07-14,Home,83.06
O000313,C08856,2022-07-26,Home,30.22
O000314,C09472,2023-06-15,Sports,962.84
O000315,C02470,2023-08-18,Books,836.8
O000316,C04002,2024-01-24,Sports,697.49
O000317,C04926,2022-05-22,Sports,411.91
O000318,C05892,2022-11-24,Toys,177.43
O000319,C02268,2022-04-21,Clothing,160.65
O000320,C04570,2023-03-06,Home,253.99
O000321,C05260,2024-02-21,Books,551.48
O000322,C07407,2023-08-22,Sports,716.02
O000323,C00879,2022-05-06,Sports,661.9
O000324,C05555,2022-08-22,Toys,283.53
O000325,C01264,2023-12-22,Clothing,955.09
O000326,C05191,2023-10-07,Electronics,739.21
O000327,C05526,2022-01-26,Sports,556.58
O000328,C07709,2023-03-03,Home,613.66
O000329,C08692,2023-07-10,Clothing,422.5
O000330,C02187,2022-08-20,Home,251.49
O000331,C06594,2022-04-16,Home,359.19
O000332,C03152,2024-01-06,Electronics,759.06
O000333,C08773,2023-10-10,Home,19.32
O000334,C08912,2022-07-06,Electronics,120.49
O000335,C00124,2023-09-01,Toys,50.77
O000336,C03319,2022-05-24,Home,45.53
O000337,C02723,2023-06-22,Sports,856.18
O000338,C04413,2022-12-17,Toys,705.14
O000339,C02382,2022-02-05,Toys,476.8
O000340,C07602,2022-09-02,Books,102.34
O000341,C01453,2022-09-19,Home,494.16
O000342,C06186,2022-03-29,Books,476.1
O000343,C01804,2022-07-17,Clothing,177.34
O000344,C08608,2022-12-03,Toys,436.68
O000345,C06385,2023-09-22,Toys,401.51
O000346,C02633,2022-02-07,Electronics,617.77
O000347,C08377,2023-05-27,Books,636.92
O000348,C06191,2024-02-03,Sports,50.08
O000349,C09503,2022-02-16,Sports,377.74
O000350,C07581,2023-02-05,Clothing,627.73
O000351,C04112,2023-04-22,Home,505.62
O000352,C07888,2022-03-30,Beauty,857.21
O000353,C06848,2022-12-31,Sports,660.4
O000354,C02947,2022-03-31,Home,167.12
O000355,C03533,2022-11-23,Toys,75.22
O000356,C07691,2022-06-11,Beauty,644.21
O000357,C00403,2023-01-09,Clothing,31.38
O000358,C03427,2024-03-23,Electronics,587.85
O000359,C09118,2023-12-22,Home,940.53
O000360,C05645,2023-12-29,Electronics,577.6
O000361,C04573,2024-02-24,Home,391.23
O000362,C07694,2023-07-17,Sports,645.07
O000363,C09180,2024-01-21,Books,460.96
O000364,C07273,2023-01-29,Home,547.89
O000365,C03038,2022-07-06,Beauty,941.76
O000366,C06771,2022-04-26,Toys,389.17
O000367,C08628,2023-05-16,Toys,961.38
O000368,C01573,2022-02-09,Home,905.82
O000369,C09352,2022-01-16,Toys,199.81
O000370,C03101,2023-06-02,Home,74.01
O000371,C02013,2023-04-26,Sports,105.27
O000372,C02540,2024-02-29,Sports,23.13
O000373,C02931,2023-06-04,Beauty,98.97
O000374,C09371,2022-03-11,Clothing,684.59
O000375,C04597,2022-07-18,Home,75.83
O000376,C01480,2024-01-26,Home,322.38
O000377,C02879,2022-06-28,Electronics,845.65
O000378,C03653,2023-09-19,Home,28.16
O000379,C02286,2023-08-23,Clothing,815.4
O000380,C08363,2022-03-23,Books,285.45
O000381,C00016,2022-04-07,Electronics,122.57
O000382,C06419,2022-04-23,Clothing,698.25
O000383,C03039,2022-04-26,Beauty,630.8
O000384,C05711,2024-03-07,Sports,878.08
O000385,C03943,2023-07-02,Clothing,736.4
O000386,C09499,2023-12-12,Books,804.46
O000387,C04108,2022-07-02,Beauty,285.62
O000388,C01554,2023-10-20,Books,181.55
O000389,C08222,2024-03-20,Beauty,751.86
O000390,C05907,2023-04-17,Books,807.8
O000391,C04499,2023-09-13,Clothing,990.55
O000392,C05599,2023-07-12,Sports,415.55
O000393,C06031,2024-01-05,Home,375.16
O000394,C04559,2022-11-08,Home,777.53
O000395,C01056,2022-03-04,Electronics,344.1
O000396,C08834,2023-01-12,Home,931.1
O000397,C02691,2023-10-25,Home,859.12
O000398,C05215,2023-05-29,Books,431.85
O000399,C08828,2022-05-24,Books,752.12
O000400,C08681,2023-05-19,Sports,755.77
O000401,C03917,2022-08-28,Home,107.61
O000402,C01402,2022-10-14,Clothing,903.04
O000403,C04281,2024-02-19,Clothing,507.73
O000404,C00059,2023-01-11,Sports,827.33
O000405,C00839,2023-09-09,Toys,323.45
O000406,C03806,2023-09-17,Clothing,896.05
O000407,C05688,2023-06-20,Clothing,392.26
O000408,C06592,2023-01-29,Home,15.78
O000409,C03681,2022-12-30,Books,905.86
O000410,C00459,2023-12-27,Beauty,95.83
O000411,C03327,2023-09-29,Clothing,322.72
O000412,C02598,2023-07-16,Home,950.31
O000413,C08276,2023-08-21,Home,950.85
O000414,C02469,2023-07-01,Toys,575.57
O000415,C07064,2024-02-04,Home,633.68
O000416,C07780,2024-01-21,Sports,451.2
O000417,C03126,2024-01-21,Sports,296.74
O000418,C05348,2023-08-21,Sports,332.02
O000419,C04961,2022-07-02,Sports,674.16
O000420,C00149,2023-11-20,Books,753.61
O000421,C05053,2022-03-01,Toys,792.62
O000422,C07320,2023-07-15,Toys,790.67
O000423,C09496,2022-12-31,Home,95.75
O000424,C08957,2023-06-21,Electronics,496.95
O000425,C06231,2024-03-24,Home,62.27
O000426,C05903,2022-07-05,Books,551.78
O000427,C07259,2022-10-02,Sports,444.32
O000428,C01643,2024-02-19,Books,888.27
O000429,C06990,2022-11-22,Toys,354.16
O000430,C08254,2024-03-27,Electronics,121.48
O000431,C09572,2022-12-07,Beauty,147.28
O000432,C07155,2024-03-21,Beauty,762.7
O000433,C02282,2022-01-15,Clothing,620.13
O000434,C01514,2022-07-12,Clothing,105.62
O000435,C03190,2023-10-04,Electronics,88.69
O000436,C02421,2022-04-07,Sports,702.46
O000437,C06008,2023-03-18,Sports,77.4
O000438,C00978,2024-03-23,Beauty,822.75
O000439,C08594,2022-08-31,Sports,707.71
O000440,C06846,2022-02-15,Clothing,85.94
O000441,C02829,2023-05-11,Beauty,89.41
O000442,C08846,2024-01-08,Clothing,986.71
O000443,C06682,2022-08-31,Home,377.4
O000444,C08786,2022-08-01,Beauty,373.79
O000445,C05141,2022-12-21,Beauty,813.74
O000446,C06324,2023-09-01,Sports,947.51
O000447,C04787,2024-02-02,Books,986.07
O000448,C03446,2023-08-25,Beauty,754.61
O000449,C04884,2023-07-07,Books,379.38
O000450,C07181,2022-11-28,Sports,88.08
O000451,C06335,2023-04-11,Toys,778.26
O000452,C00829,2023-10-03,Home,560.61
O000453,C08583,2022-12-21,Home,427.1
O000454,C08819,2022-03-16,Sports,906.82
O000455,C02865,2022-05-16,Beauty,115.64
O000456,C03456,2024-01-06,Home,495.16
O000457,C00333,2024-01-23,Home,16.3
O000458,C09448,2022-06-30,Electronics,471.32
O000459,C02786,2024-01-08,Electronics,61.02
O000460,C05923,2022-12-24,Home,123.22
O000461,C08920,2022-07-27,Clothing,121.94
O000462,C07199,2023-05-22,Beauty,650.96
O000463,C02902,2023-03-06,Beauty,747.31
O000464,C08531,2023-10-20,Beauty,585.45
O000465,C09798,2023-08-24,Electronics,962.36
O000466,C04743,2023-06-13,Toys,378.0
O000467,C06473,2022-11-14,Toys,289.28
O000468,C07649,2023-06-19,Clothing,869.26
O000469,C03498,2022-05-27,Electronics,227.48
O000470,C06438,2024-01-02,Toys,963.41
O000471,C03430,2023-07-18,Toys,17.09
O000472,C01279,2022-05-29,Clothing,970.03
O000473,C06499,2023-11-20,Toys,47.94
O000474,C03316,2022-09-24,Home,891.69
O000475,C04000,2022-04-03,Sports,530.06
O000476,C00270,2022-03-05,Clothing,993.0
O000477,C09079,2023-12-14,Sports,78.43
O000478,C04809,2022-10-07,Electronics,556.09
O000479,C06348,2022-05-15,Home,969.46
O000480,C00687,2022-01-17,Books,525.48
O000481,C01690,2023-11-07,Beauty,631.25
O000482,C07686,2023-04-03,Home,697.27
O000483,C02584,2022-04-05,Sports,457.27
O000484,C06458,2023-10-24,Home,629.42
O000485,C02495,2022-02-10,Toys,586.39
O000486,C08424,2022-03-31,Beauty,901.65
O000487,C00234,2024-02-05,Toys,50.22
O000488,C03861,2023-10-04,Toys,284.56
O000489,C03400,2022-12-21,Toys,950.66
O000490,C06640,2023-03-05,Toys,890.81
O000491,C05106,2022-08-15,Beauty,458.38
O000492,C09973,2022-08-16,Beauty,622.03
O000493,C00805,2023-08-18,Beauty,280.99
O000494,C08448,2022-04-12,Clothing,192.18
O000495,C04653,2023-06-20,Beauty,466.38
O000496,C08186,2024-01-29,Beauty,356.59
O000497,C04609,2022-02-12,Sports,585.74
O000498,C09355,2023-10-09,Clothing,82.35
O000499,C01323,2024-03-03,Sports,974.52
O000500,C01480,2023-04-30,Home,986.28
O000501,C07097,2022-12-23,Books,699.67
O000502,C03925,2023-12-19,Home,538.42
O000503,C04164,2023-10-04,Beauty,312.98
O000504,C03647,2023-05-25,Home,814.73
O000505,C00567,2023-01-26,Beauty,686.31
O000506,C03748,2023-10-22,Electronics,166.8
O000507,C01557,2022-10-12,Electronics,911.37
O000508,C01001,2022-10-22,Toys,823.42
O000509,C01605,2023-09-28,Clothing,950.05
O000510,C06361,2022-07-29,Beauty,727.09
O000511,C06752,2023-11-10,Electronics,615.35
O000512,C03849,2022-06-26,Beauty,421.15
O000513,C06150,2022-05-30,Sports,933.06
O000514,C07071,2023-08-14,Electronics,866.73
O000515,C02932,2022-07-20,Beauty,49.99
O000516,C02355,2022-07-12,Books,31.24
O000517,C08588,2022-02-03,Toys,379.58
O000518,C04492,2023-11-13,Home,811.5
O000519,C05945,2023-05-27,Toys,987.34
O000520,C05213,2022-11-13,Electronics,154.66
O000521,C05014,2022-06-16,Books,596.16
O000522,C01186,2022-07-15,Sports,383.99
O000523,C04754,2022-06-02,Sports,970.06
O000524,C00044,2023-07-17,Clothing,842.91
O000525,C08740,2023-09-12,Sports,839.14
O000526,C05428,2022-09-08,Toys,471.35
O000527,C07434,2022-04-02,Beauty,417.75
O000528,C06200,2024-03-02,Sports,277.04
O000529,C02495,2023-12-16,Beauty,61.09
O000530,C02668,2022-02-10,Clothing,865.4
O000531,C09420,2022-11-15,Books,813.84
O000532,C05768,2023-08-11,Sports,999.72
O000533,C01245,2024-02-21,Books,996.65
O000534,C01706,2023-07-29,Clothing,557.65
O000535,C00031,2023-07-09,Books,770.14
O000536,C08380,2022-02-24,Sports,945.04
O000537,C05116,2023-03-06,Home,850.4
O000538,C08636,2023-08-02,Sports,251.11
O000539,C06996,2022-11-02,Electronics,453.29
O000540,C01308,2022-10-05,Beauty,133.51
O000541,C00597,2022-02-07,Home,954.28
O000542,C06270,2023-02-22,Toys,608.14
O000543,C06793,2022-07-26,Books,232.5
O000544,C00717,2023-04-18,Electronics,673.34
O000545,C00986,2022-05-22,Electronics,620.04
O000546,C02993,2022-03-21,Books,361.37
O000547,C06382,2023-11-10,Books,117.99
O000548,C00101,2022-08-05,Sports,673.22
O000549,C04853,2023-03-19,Sports,522.71
O000550,C06863,2023-03-17,Electronics,773.46
O000551,C09686,2024-02-20,Clothing,522.56
O000552,C00289,2023-12-30,Books,852.92
O000553,C01703,2024-01-08,Clothing,554.15
O000554,C07245,2023-12-31,Electronics,563.13
O000555,C04291,2022-05-01,Books,877.27
O000556,C05497,2024-01-26,Books,406.47
O000557,C03265,2023-01-16,Home,138.35
O000558,C08375,2023-09-13,Toys,33.64
O000559,C01736,2022-06-27,Books,756.36
O000560,C06222,2024-01-23,Home,622.21
O000561,C02198,2023-07-30,Beauty,705.56
O000562,C05117,2022-06-16,Books,216.9
O000563,C04546,2022-07-05,Beauty,140.69
O000564,C01190,2022-10-05,Toys,19.47
O000565,C00392,2023-08-26,Sports,353.83
O000566,C06823,2023-03-20,Electronics,591.97
O000567,C06372,2022-09-09,Home,395.28
O000568,C08055,2023-06-19,Clothing,440.29
O000569,C08941,2022-06-15,Home,904.64
O000570,C08919,2023-01-11,Electronics,351.51
O000571,C04717,2023-01-22,Home,516.42
O000572,C05234,2023-09-07,Clothing,784.73
O000573,C07711,2023-03-28,Toys,399.56
O000574,C03619,2022-04-08,Home,623.98
O000575,C02417,2023-03-04,Sports,863.05
O000576,C01248,2023-09-08,Home,949.77
O000577,C07055,2023-09-13,Electronics,151.34
O000578,C05721,2022-03-22,Home,926.95
O000579,C00918,2023-04-10,Sports,494.66
O000580,C02912,2022-11-22,Toys,261.95
O000581,C04487,2023-01-12,Books,461.84
O000582,C02505,2023-11-18,Books,980.13
O000583,C03465,2022-10-26,Beauty,495.16
O000584,C08599,2022-04-02,Sports,332.11
O000585,C09376,2022-09-06,Books,635.23
O000586,C03196,2022-08-10,Toys,243.94
O000587,C05678,2022-02-02,Clothing,80.48
O000588,C04360,2023-06-11,Toys,133.24
O000589,C04166,2022-04-21,Sports,132.41
O000590,C00230,2023-01-13,Beauty,156.14
O000591,C07552,2023-11-24,Beauty,143.13
O000592,C01250,2022-03-11,Books,642.67
O000593,C01109,2022-03-12,Books,185.97
O000594,C00251,2023-10-27,Books,348.94
O000595,C07604,2022-08-22,Sports,897.3
O000596,C02811,2022-02-01,Home,476.59
O000597,C08452,2022-02-09,Home,669.22
O000598,C06142,2022-03-24,Clothing,176.46
O000599,C00393,2022-02-11,Books,196.33
O000600,C02768,2024-01-31,Clothing,45.66
O000601,C03996,2022-12-07,Clothing,173.09
O000602,C00419,2023-07-20,Books,282.2
O000603,C05670,2023-10-07,Books,181.13
O000604,C00499,2023-08-25,Books,93.26
